#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:impatiens" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:impatiens" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:impatiens">
#                <taxonset id="TaxonSet.impatiens" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:impatiens" name="distribution" x="@birthRate.t:impatiens">
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:impatiens" name="distribution">
#            <parameter id="gammaShape.s:impatiens" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:impatiens" name="distribution">
#            <parameter id="kappa.s:impatiens" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.01" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.02" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@impatiens" id="treeLikelihood.impatiens" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:impatiens">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:impatiens" shape="@gammaShape.s:impatiens" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:impatiens" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:impatiens" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:impatiens" kappa="@kappa.s:impatiens" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:impatiens" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:impatiens" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:impatiens" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:impatiens" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	gammaShape	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
23000	-1787.3057182823254	-1957.6549001383685	170.3491818560431	-1957.6549001383685	0.11011448207680825	174.45625006713988	92.13385749221236	0.20216658930943807	9.555462405402242	0.2598396335739845	0.2553108139957193	0.23107428849864706	0.25377526393164923	
24000	-1789.8091322792236	-1962.497708548845	172.6885762696214	-1962.497708548845	0.09346172810778677	176.79564448071818	193.64700953421192	0.20216658930943807	9.555462405402242	0.2598396335739845	0.2622923418739173	0.22409276062044903	0.25377526393164923	
25000	-1789.914866401815	-1966.2001755506062	176.28530914879119	-1966.2001755506062	0.0975342769270261	180.39237735988797	110.41637373847239	0.20216658930943807	9.555462405402242	0.2598396335739845	0.2622923418739173	0.22409276062044903	0.25377526393164923	
26000	-1797.3165669104967	-1970.0799554662797	172.7633885557829	-1970.0799554662797	0.09152067320126477	177.27929503135982	166.32772949345215	0.20216658930943807	11.884505413476935	0.2598396335739845	0.2622923418739173	0.22409276062044903	0.25377526393164923	
27000	-1799.8551146407444	-1968.7493030845478	168.89418844380327	-1968.7493030845478	0.10785384043358735	173.41009491938019	121.31502670095746	0.20216658930943807	11.884505413476935	0.2598396335739845	0.2622923418739173	0.22409276062044903	0.25377526393164923	
28000	-1790.6616627392211	-1961.7411884768019	171.07952573758078	-1961.7411884768019	0.1061413697526176	175.70261739278715	168.33543496399986	0.14322510422823723	12.929555417117344	0.2574493273955606	0.2646826480523412	0.21956500131523618	0.2583030232368621	
29000	-1792.5495719033242	-1963.7340017208342	171.18442981750997	-1963.7340017208342	0.10084496084646753	175.05804843018552	100.10343940653698	0.18934056486749598	8.432399308005982	0.2574493273955606	0.2708912213573537	0.21335642801022364	0.2583030232368621	
30000	-1783.879562296905	-1961.3560487795116	177.47648648260653	-1961.3560487795116	0.0939232211182395	181.3501050952821	148.3001659441024	0.18934056486749598	8.432399308005982	0.2574493273955606	0.2708912213573537	0.21335642801022364	0.2583030232368621	
31000	-1793.8698527657857	-1978.155172026247	184.28531926046134	-1978.155172026247	0.0803360362616136	188.1427838004174	172.29365460956487	0.1731864921480072	8.432399308005982	0.2574493273955606	0.268421080974699	0.21335642801022364	0.2607731636195168	
32000	-1795.3094099170432	-1965.6692209427765	170.3598110257333	-1965.6692209427765	0.11246901905296984	174.3229264876487	113.76797455874802	0.27883741410732316	8.432399308005982	0.2574493273955606	0.2628778376038846	0.21335642801022364	0.2663164069903312	
33000	-1797.1067508345986	-1968.2535551657043	171.14680433110556	-1968.2535551657043	0.10434706121499297	175.12067627012746	126.3545779296367	0.28959389121385737	8.432399308005982	0.2574493273955606	0.2628778376038846	0.21335642801022364	0.2663164069903312	
34000	-1805.4298258558829	-1977.4431438592778	172.0133180033949	-1977.4431438592778	0.0909571597619227	175.84599842205537	168.88409596171502	0.1484023708524402	8.432399308005982	0.26008517062534176	0.2628778376038846	0.21335642801022364	0.26368056376055005	
35000	-1798.1059948381085	-1969.365230431979	171.25923559387059	-1969.365230431979	0.11504826938946501	175.27795903584817	110.85269813546812	0.13464807177698085	9.445593176848563	0.27072406390165177	0.2628778376038846	0.2075529300611231	0.25884516843334054	
36000	-1795.3707263702279	-1961.1861178109011	165.81539144067318	-1961.1861178109011	0.119667466710913	170.71732732916888	100.86067267893482	0.186135488654423	14.518782732657781	0.27072406390165177	0.24840061382261422	0.2075529300611231	0.27332239221461097	
37000	-1811.5202792014425	-1980.0993092683402	168.57903006689784	-1980.0993092683402	0.1170104347283246	172.37080592784918	96.58249384489004	0.186135488654423	8.053360171110706	0.26433449842404083	0.24840061382261422	0.21394249553873407	0.27332239221461097	
38000	-1795.624428268307	-1966.277550223975	170.65312195566787	-1966.277550223975	0.10063744974279148	175.49097818545656	122.27389383846747	0.186135488654423	14.074601322162446	0.26433449842404083	0.24840061382261422	0.21394249553873407	0.27332239221461097	
